"시점","항목","범죄별(1)","범죄별(2)",자치구별(1),자치구별(2),데이터
"2018","발생","합계","살인",합계,종로구,6
"2018","발생","합계","살인",합계,중구,2
"2018","발생","합계","살인",합계,용산구,1
"2018","발생","합계","살인",합계,성동구,2
"2018","발생","합계","살인",합계,광진구,7
"2018","발생","합계","살인",합계,동대문구,2
"2018","발생","합계","살인",합계,중랑구,4
"2018","발생","합계","살인",합계,성북구,7
"2018","발생","합계","살인",합계,강북구,8
"2018","발생","합계","살인",합계,도봉구,1
"2018","발생","합계","살인",합계,노원구,5
"2018","발생","합계","살인",합계,은평구,8
"2018","발생","합계","살인",합계,서대문구,5
"2018","발생","합계","살인",합계,마포구,6
"2018","발생","합계","살인",합계,양천구,2
"2018","발생","합계","살인",합계,강서구,11
"2018","발생","합계","살인",합계,구로구,8
"2018","발생","합계","살인",합계,금천구,6
"2018","발생","합계","살인",합계,영등포구,17
"2018","발생","합계","살인",합계,동작구,3
"2018","발생","합계","살인",합계,관악구,9
"2018","발생","합계","살인",합계,서초구,5
"2018","발생","합계","살인",합계,강남구,10
"2018","발생","합계","살인",합계,송파구,5
"2018","발생","합계","살인",합계,강동구,3
"2018","발생","합계","강도",합계,종로구,3
"2018","발생","합계","강도",합계,중구,11
"2018","발생","합계","강도",합계,용산구,3
"2018","발생","합계","강도",합계,성동구,5
"2018","발생","합계","강도",합계,광진구,2
"2018","발생","합계","강도",합계,동대문구,5
"2018","발생","합계","강도",합계,중랑구,3
"2018","발생","합계","강도",합계,성북구,1
"2018","발생","합계","강도",합계,강북구,7
"2018","발생","합계","강도",합계,도봉구,5
"2018","발생","합계","강도",합계,노원구,5
"2018","발생","합계","강도",합계,은평구,1
"2018","발생","합계","강도",합계,서대문구,3
"2018","발생","합계","강도",합계,마포구,6
"2018","발생","합계","강도",합계,양천구,4
"2018","발생","합계","강도",합계,강서구,6
"2018","발생","합계","강도",합계,구로구,9
"2018","발생","합계","강도",합계,금천구,7
"2018","발생","합계","강도",합계,영등포구,8
"2018","발생","합계","강도",합계,동작구,7
"2018","발생","합계","강도",합계,관악구,10
"2018","발생","합계","강도",합계,서초구,5
"2018","발생","합계","강도",합계,강남구,14
"2018","발생","합계","강도",합계,송파구,6
"2018","발생","합계","강도",합계,강동구,7
"2018","발생","합계","강간·강제추행",합계,종로구,236
"2018","발생","합계","강간·강제추행",합계,중구,207
"2018","발생","합계","강간·강제추행",합계,용산구,331
"2018","발생","합계","강간·강제추행",합계,성동구,126
"2018","발생","합계","강간·강제추행",합계,광진구,229
"2018","발생","합계","강간·강제추행",합계,동대문구,145
"2018","발생","합계","강간·강제추행",합계,중랑구,174
"2018","발생","합계","강간·강제추행",합계,성북구,183
"2018","발생","합계","강간·강제추행",합계,강북구,188
"2018","발생","합계","강간·강제추행",합계,도봉구,113
"2018","발생","합계","강간·강제추행",합계,노원구,194
"2018","발생","합계","강간·강제추행",합계,은평구,188
"2018","발생","합계","강간·강제추행",합계,서대문구,206
"2018","발생","합계","강간·강제추행",합계,마포구,473
"2018","발생","합계","강간·강제추행",합계,양천구,120
"2018","발생","합계","강간·강제추행",합계,강서구,269
"2018","발생","합계","강간·강제추행",합계,구로구,250
"2018","발생","합계","강간·강제추행",합계,금천구,200
"2018","발생","합계","강간·강제추행",합계,영등포구,391
"2018","발생","합계","강간·강제추행",합계,동작구,288
"2018","발생","합계","강간·강제추행",합계,관악구,352
"2018","발생","합계","강간·강제추행",합계,서초구,470
"2018","발생","합계","강간·강제추행",합계,강남구,600
"2018","발생","합계","강간·강제추행",합계,송파구,309
