시점,구분별(1),구분별(2),동별(1),동별(2),데이터
2023 3/4,한국인 (명),남자,합계,종로구,67625
2023 3/4,한국인 (명),남자,합계,중구,58788
2023 3/4,한국인 (명),남자,합계,용산구,103804
2023 3/4,한국인 (명),남자,합계,성동구,135143
2023 3/4,한국인 (명),남자,합계,광진구,161892
2023 3/4,한국인 (명),남자,합계,동대문구,167468
2023 3/4,한국인 (명),남자,합계,중랑구,187844
2023 3/4,한국인 (명),남자,합계,성북구,205245
2023 3/4,한국인 (명),남자,합계,강북구,140589
2023 3/4,한국인 (명),남자,합계,도봉구,149281
2023 3/4,한국인 (명),남자,합계,노원구,240084
2023 3/4,한국인 (명),남자,합계,은평구,221977
2023 3/4,한국인 (명),남자,합계,서대문구,146119
2023 3/4,한국인 (명),남자,합계,마포구,170296
2023 3/4,한국인 (명),남자,합계,양천구,213648
2023 3/4,한국인 (명),남자,합계,강서구,270491
2023 3/4,한국인 (명),남자,합계,구로구,193258
2023 3/4,한국인 (명),남자,합계,금천구,115038
2023 3/4,한국인 (명),남자,합계,영등포구,184175
2023 3/4,한국인 (명),남자,합계,동작구,183880
2023 3/4,한국인 (명),남자,합계,관악구,244198
2023 3/4,한국인 (명),남자,합계,서초구,193703
2023 3/4,한국인 (명),남자,합계,강남구,258656
2023 3/4,한국인 (명),남자,합계,송파구,315224
2023 3/4,한국인 (명),남자,합계,강동구,224075
2023 3/4,한국인 (명),여자,합계,종로구,72320
2023 3/4,한국인 (명),여자,합계,중구,62617
2023 3/4,한국인 (명),여자,합계,용산구,112348
2023 3/4,한국인 (명),여자,합계,성동구,143223
2023 3/4,한국인 (명),여자,합계,광진구,174712
2023 3/4,한국인 (명),여자,합계,동대문구,173770
2023 3/4,한국인 (명),여자,합계,중랑구,194953
2023 3/4,한국인 (명),여자,합계,성북구,222426
2023 3/4,한국인 (명),여자,합계,강북구,149566
2023 3/4,한국인 (명),여자,합계,도봉구,158459
2023 3/4,한국인 (명),여자,합계,노원구,259905
2023 3/4,한국인 (명),여자,합계,은평구,245121
2023 3/4,한국인 (명),여자,합계,서대문구,161322
2023 3/4,한국인 (명),여자,합계,마포구,193961
2023 3/4,한국인 (명),여자,합계,양천구,223753
2023 3/4,한국인 (명),여자,합계,강서구,293848
2023 3/4,한국인 (명),여자,합계,구로구,200671
2023 3/4,한국인 (명),여자,합계,금천구,113573
2023 3/4,한국인 (명),여자,합계,영등포구,191411
2023 3/4,한국인 (명),여자,합계,동작구,196274
2023 3/4,한국인 (명),여자,합계,관악구,240974
2023 3/4,한국인 (명),여자,합계,서초구,212701
2023 3/4,한국인 (명),여자,합계,강남구,282301
2023 3/4,한국인 (명),여자,합계,송파구,340520
2023 3/4,한국인 (명),여자,합계,강동구,234310
2023 3/4,등록외국인,남자,합계,종로구,4597
2023 3/4,등록외국인,남자,합계,중구,4873
2023 3/4,등록외국인,남자,합계,용산구,7842
2023 3/4,등록외국인,남자,합계,성동구,2966
2023 3/4,등록외국인,남자,합계,광진구,6167
2023 3/4,등록외국인,남자,합계,동대문구,6468
2023 3/4,등록외국인,남자,합계,중랑구,2030
2023 3/4,등록외국인,남자,합계,성북구,4497
2023 3/4,등록외국인,남자,합계,강북구,1613
2023 3/4,등록외국인,남자,합계,도봉구,823
2023 3/4,등록외국인,남자,합계,노원구,1875
2023 3/4,등록외국인,남자,합계,은평구,1608
2023 3/4,등록외국인,남자,합계,서대문구,4332
2023 3/4,등록외국인,남자,합계,마포구,4047
2023 3/4,등록외국인,남자,합계,양천구,1316
2023 3/4,등록외국인,남자,합계,강서구,2470
2023 3/4,등록외국인,남자,합계,구로구,12207
2023 3/4,등록외국인,남자,합계,금천구,7094
2023 3/4,등록외국인,남자,합계,영등포구,11682
2023 3/4,등록외국인,남자,합계,동작구,4342
2023 3/4,등록외국인,남자,합계,관악구,6190
2023 3/4,등록외국인,남자,합계,서초구,2087
2023 3/4,등록외국인,남자,합계,강남구,2452
2023 3/4,등록외국인,남자,합계,송파구,2568
2023 3/4,등록외국인,남자,합계,강동구,1812
2023 3/4,등록외국인,여자,합계,종로구,6585
2023 3/4,등록외국인,여자,합계,중구,5547
2023 3/4,등록외국인,여자,합계,용산구,6698
2023 3/4,등록외국인,여자,합계,성동구,4211
2023 3/4,등록외국인,여자,합계,광진구,9188
2023 3/4,등록외국인,여자,합계,동대문구,11407
2023 3/4,등록외국인,여자,합계,중랑구,3113
2023 3/4,등록외국인,여자,합계,성북구,7921
2023 3/4,등록외국인,여자,합계,강북구,3036
2023 3/4,등록외국인,여자,합계,도봉구,1570
2023 3/4,등록외국인,여자,합계,노원구,2559
2023 3/4,등록외국인,여자,합계,은평구,2449
2023 3/4,등록외국인,여자,합계,서대문구,9606
2023 3/4,등록외국인,여자,합계,마포구,7335
2023 3/4,등록외국인,여자,합계,양천구,1874
2023 3/4,등록외국인,여자,합계,강서구,3169
2023 3/4,등록외국인,여자,합계,구로구,10679
2023 3/4,등록외국인,여자,합계,금천구,6371
2023 3/4,등록외국인,여자,합계,영등포구,11022
2023 3/4,등록외국인,여자,합계,동작구,6244
2023 3/4,등록외국인,여자,합계,관악구,9220
2023 3/4,등록외국인,여자,합계,서초구,2275
2023 3/4,등록외국인,여자,합계,강남구,2882
2023 3/4,등록외국인,여자,합계,송파구,3203
2023 3/4,등록외국인,여자,합계,강동구,2256
